"moral_id","book_id","title","AuthorFirstName","AuthorLastName","Date","Language","Country","Class","model","input_type","moral_num","moral"
1,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","GPT","full_text",1,"Hope is the better story that keeps us alive."
2,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","GPT","full_text",2,"Fear defeats us before danger does."
3,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","GPT","full_text",3,"Survival demands both fierce will and humble faith."
4,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","GPT","chunk_summary",1,"Survival begins when hope becomes action."
5,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","GPT","chunk_summary",2,"Faith and reason can share the same lifeboat."
6,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","GPT","chunk_summary",3,"The stories we choose reveal the truths we can bear."
7,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","GPT","plotArc_summary",1,"Survival demands courage, discipline, and uneasy coexistence with danger."
8,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","GPT","plotArc_summary",2,"In desperate times, the will to live can tame even the fiercest fear."
9,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","GPT","plotArc_summary",3,"Nature owes no gratitude; survival is its own reward."
10,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","GPT","memory",1,"Faith can keep you afloat when reason finds no shore."
11,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","GPT","memory",2,"The story we choose can be the raft that saves us."
12,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","GPT","memory",3,"Survival demands both fierce courage and uneasy compromise."
13,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Gemini","full_text",1,"Choosing the better story is the true essence of faith."
14,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Gemini","full_text",2,"Our greatest terrors can sometimes be the very things that keep us alive."
15,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Gemini","full_text",3,"To survive the unimaginable, one must sometimes embrace the savage within."
16,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Gemini","chunk_summary",1,"Faith is choosing the better story when the truth offers only despair."
17,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Gemini","chunk_summary",2,"The very adversaries that threaten our lives can also give us the will to survive them."
18,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Gemini","chunk_summary",3,"Extreme survival strips away our civilized illusions to reveal the primal animal within."
19,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Gemini","plotArc_summary",1,"Our greatest adversaries often provide the strongest will to survive."
20,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Gemini","plotArc_summary",2,"The wild owes no debt of gratitude."
21,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Gemini","plotArc_summary",3,"The human spirit relies on extraordinary stories to endure unbearable truths."
22,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Gemini","memory",1,"The stories we choose to believe shape the reality we experience."
23,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Gemini","memory",2,"The very fears that threaten to destroy us often provide the will to survive."
24,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Gemini","memory",3,"True faith transcends rigid boundaries to embrace the wonder of the unknown."
25,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Claude","full_text",1,"The story you choose to believe shapes the life you are able to live."
26,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Claude","full_text",2,"Survival demands that we become capable of things we never imagined possible."
27,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Claude","full_text",3,"Faith is not the absence of doubt, but the decision to leap beyond it."
28,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Claude","chunk_summary",1,"The story you choose to believe says more about you than the story itself."
29,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Claude","chunk_summary",2,"Survival demands that we become capable of things we once thought impossible."
30,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Claude","chunk_summary",3,"Faith is not the absence of doubt, but the refusal to stop reaching for meaning."
31,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Claude","plotArc_summary",1,"The will to survive can tame even the wildest of beasts."
32,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Claude","plotArc_summary",2,"Some companions leave without farewell, yet the journey still transforms you."
33,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Claude","plotArc_summary",3,"A story too extraordinary to believe may be the truest one of all."
34,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Claude","memory",1,"A better story is worth more than a bare truth."
35,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Claude","memory",2,"Faith is the lifeboat that keeps you afloat in a godless sea."
36,"2001_Martel,Yann_LifeofPi_BS.txt","LifeofPi","Martel","Yann",2001,"English","Spain/Canada","BEST","Claude","memory",3,"Survival demands that you tame the beast within yourself."
37,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","GPT","full_text",1,"The family that saves you may be the one you find, not the one you’re born into."
38,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","GPT","full_text",2,"Healing begins when truth is faced instead of feared."
39,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","GPT","full_text",3,"Love is the strength that breaks every chain."
40,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","GPT","chunk_summary",1,"The family you find can heal the wounds of the family you were born into."
